Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,2000,LoRA-Ours,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7366666666666667,0.7332315936389002,0.9309066666666667,173.26065945625305,1.5385730266571045,2048.4931640625,6.898318,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.836734693877551,0.7578947368421052,0.712871287128713
SMP2020,2000,LoRA-Ours,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7233333333333333,0.7136632102930265,0.9351599999999999,198.3018262386322,1.5568065643310547,2048.4931640625,6.898318,0.6949152542372881,0.631578947368421,0.761904761904762,0.8316831683168315,0.7708333333333333,0.6352941176470589
SMP2020,2000,LoRA-Ours,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7366666666666667,0.7269587366302077,0.9384666666666668,241.16003012657166,1.5550658702850342,2048.4931640625,6.898318,0.6857142857142857,0.6138613861386139,0.8035714285714286,0.8247422680412372,0.8282828282828283,0.6511627906976745
SMP2020,2000,LoRA-Ours,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7533333333333333,0.7473917637171024,0.9397733333333332,182.12437987327576,1.5518827438354492,2048.4931640625,6.898318,0.6732673267326733,0.6597938144329897,0.7850467289719626,0.8749999999999999,0.8431372549019608,0.6804123711340208
SMP2020,2000,DoRA-Balanced,123,0.7389546005416486,0.7389546005416487,0.74,0.7399999999999999,0.7308246230008089,0.9420266666666667,192.61761713027954,1.6044201850891113,2444.6611328125,0.916998,0.7289719626168225,0.6363636363636365,0.8113207547169812,0.8421052631578948,0.7959183673469388,0.6190476190476191
SMP2020,2000,DoRA-Balanced,789,0.7354678077526238,0.7354678077526238,0.7366666666666667,0.7366666666666665,0.7314801926215585,0.9334000000000001,183.78017568588257,1.5928704738616943,2444.6611328125,0.916998,0.673469387755102,0.6923076923076923,0.7850467289719626,0.8453608247422681,0.7572815533980584,0.6593406593406594
SMP2020,2000,DoRA-Balanced,2024,0.7134727694462207,0.7134727694462206,0.7166666666666667,0.7166666666666667,0.7038002164116631,0.9255999999999999,236.45308375358582,1.586996078491211,2444.6611328125,0.916998,0.686868686868687,0.6111111111111112,0.7610619469026547,0.8333333333333333,0.7884615384615384,0.6
SMP2020,2000,DoRA-Balanced,1001,0.71718357854897,0.7171835785489699,0.7166666666666667,0.7166666666666668,0.7130606304685381,0.9456933333333334,193.53177118301392,1.582878828048706,2444.6611328125,0.916998,0.6391752577319586,0.616822429906542,0.7959183673469388,0.7692307692307692,0.7722772277227723,0.7096774193548386
SMP2020,2000,DoRA-Balanced,45,0.7431379738467191,0.743137973846719,0.7433333333333333,0.7433333333333333,0.7366796859953475,0.9359600000000001,152.4003026485443,1.5740618705749512,2444.6611328125,0.916998,0.7010309278350516,0.6019417475728155,0.8113207547169812,0.8631578947368421,0.8076923076923077,0.6736842105263158
SMP2020,2000,LoRA-Focal,123,0.7362930750468811,0.736293075046881,0.7366666666666667,0.7366666666666667,0.7263155347084639,0.9299599999999999,149.60547018051147,1.1993582248687744,1973.91259765625,0.88935,0.7096774193548386,0.6495726495726495,0.7927927927927928,0.8571428571428571,0.803921568627451,0.6046511627906976
SMP2020,2000,LoRA-Focal,789,0.7507918640816372,0.7507918640816371,0.75,0.75,0.7473195261264581,0.9263733333333333,193.7503526210785,1.209571123123169,1973.91259765625,0.88935,0.6732673267326733,0.6938775510204083,0.826923076923077,0.8478260869565217,0.7428571428571428,0.72
SMP2020,2000,LoRA-Focal,2024,0.7289109578396586,0.7289109578396586,0.7266666666666667,0.7266666666666666,0.7231093147456918,0.9215999999999999,132.19952130317688,1.2032456398010254,1973.91259765625,0.88935,0.7474747474747474,0.6306306306306306,0.7636363636363636,0.8314606741573033,0.7551020408163266,0.6451612903225806
SMP2020,2000,LoRA-Focal,1001,0.7209965736839924,0.7209965736839924,0.72,0.7199999999999999,0.7141485097577326,0.9359466666666666,132.90228033065796,1.216792345046997,1973.91259765625,0.88935,0.6464646464646464,0.5825242718446602,0.8000000000000002,0.8181818181818181,0.7777777777777777,0.7010309278350516
